SEL2	411 VAR CTRL			Date: 06/01	/2015   Tim	e: 20:11:56							
BIG	BLUE 161KV												
													
#	DATE	TIME	VA_MAG	VB_MAG	VC_MAG	MV10	SC01	SC02	P	Q	PF	MV32	MV27
1486	5/27/2015	16:25:11	94065.312	94118.445	94420.078	1800	0	0	812.605	4366.854	0.183	0	0
1485	5/27/2015	16:30:11	93997.445	94425.641	94280.039	1800	0	0	1124.314	4864.077	0.225	0	0
1484	5/27/2015	16:35:01	94211.594	94259.469	94089.336	1800	0	0	795.431	4307.985	0.182	0	0
1483	5/27/2015	16:40:01	94119.82	94062.531	94413.664	1800	0	0	643.415	4400.953	0.145	0	0
1482	5/27/2015	16:45:01	94146.289	94209.984	94085.164	1800	0	0	522.013	4083.034	0.127	0	0
1481	5/27/2015	16:50:01	94127.047	94282.836	94066.437	1800	0	0	899.526	4490.292	0.196	0	0
1480	5/27/2015	16:55:11	93877.773	94045.484	94321.875	1800	0	0	1185.353	4521.928	0.254	0	0
1479	5/27/2015	17:00:11	94097.953	94033.039	93985.805	1800	0	0	600.194	4055.942	0.146	0	0
1478	5/27/2015	17:05:01	94004.359	94129.687	93917	1800	0	0	1025.835	4644.279	0.216	0	0
1477	5/27/2015	17:10:01	93795.484	94022.086	93808.445	1800	0	0	826.363	4705.936	0.173	0	0
1476	5/27/2015	17:15:11	93637.781	93960.633	94074.344	1800	0	0	780.234	4425.186	0.174	0	0
1475	5/27/2015	17:20:11	93955.227	93864.891	93891.984	1800	0	0	954.932	4577.229	0.204	0	0
1474	5/27/2015	17:25:01	93890.945	93803.937	94158.125	1800	0	0	1697.408	5304.159	0.305	0	0
1473	5/27/2015	17:30:01	93884.711	94177.922	93959.734	1800	0	0	1591.25	5540.758	0.276	0	0
1472	5/27/2015	17:35:11	93728.125	94098	94066.344	1800	0	0	1585.225	5406.858	0.281	0	0
1471	5/27/2015	17:40:01	93820.883	93674.609	93942.219	1800	0	0	1857.194	5321.43	0.33	0	0
1470	5/27/2015	17:45:11	93661.414	93780.789	94074.945	1800	0	0	2083.892	5925.404	0.332	0	0
1469	5/27/2015	17:50:11	93665.719	93675.383	93938.836	1800	0	0	1343.513	5415.122	0.241	0	0
1468	5/27/2015	17:55:11	93700.695	94078.594	94100.117	1800	0	0	2774.906	6612.499	0.387	0	0
1467	5/27/2015	18:00:01	93805.492	94085.937	94305.258	1800	0	0	2519.663	6501.622	0.361	0	0
